\lambda [nm]	
430.9599915	0.974163208
431.1399841	0.973925018
431.3200073	0.975141373
431.5	0.975228424
431.6799927	0.976939926
431.8599854	0.977411118
432.0400085	0.97835701
432.2200012	0.980298309
432.3999939	0.981241074
432.5799866	0.982935257
432.7599792	0.984775543
432.9400024	0.986203919
433.1199951	0.987110672
433.2999878	0.989046936
433.4799805	0.989538956
433.6600037	0.991332321
433.8399963	0.991804733
434.019989	0.992399597
434.1999817	0.993198013
434.3800049	0.993620529
434.5599976	0.993516312
434.7399902	0.994203339
434.9199829	0.992939758
435.1000061	0.992426987
435.2799988	0.991605377
435.4599915	0.990882797
435.6399841	0.990223465
435.8200073	0.98896019
436	0.987669067
436.1799927	0.986944962
436.3599854	0.985924988
436.5400085	0.985078125
436.7200012	0.98463562
436.8999939	0.983981934
437.0799866	0.982890015
437.2600098	0.983195267
437.4400024	0.982443237
437.6199951	0.982551346
437.7999878	0.982726288
437.9799805	0.982804642
438.1600037	0.983548737
438.3399963	0.983592987
438.519989	0.984403458
438.6999817	0.98454895
438.8800049	0.985859451
439.0599976	0.986779785
439.2399902	0.987372437
439.4199829	0.988567581
439.6000061	0.989254837
439.7799988	0.989863815
439.9599915	0.990643463
440.1399841	0.990945282
440.3200073	0.991060944
440.5	0.991701584
440.6799927	0.992182694
440.8599854	0.992252884
441.0400085	0.992262268
441.2200012	0.992011261
441.3999939	0.991590729
441.5799866	0.991451721
441.7600098	0.991052246
441.9400024	0.990050583
442.1199951	0.989813385
442.2999878	0.98927269
442.4799805	0.988263397
442.6600037	0.988137741
442.8399963	0.987639999
443.019989	0.987630844
443.1999817	0.98643074
443.3800049	0.986476975
443.5599976	0.98630455
443.7399902	0.986574631
443.9199829	0.986462555
444.1000061	0.986105499
444.2799988	0.986262817
444.4599915	0.986831284
444.6399841	0.987433701
444.8200073	0.98764061
445	0.988485031
445.1799927	0.988601151
445.3599854	0.990068665
445.5400085	0.989849777
445.7200012	0.991267471
445.8999939	0.992457047
446.0799866	0.992337189
446.2600098	0.993048782
446.4400024	0.993593445
446.6199951	0.993842621
446.7999878	0.994716339
446.9799805	0.995151138
